OS,Casuistica,Fecha,Observacion
122106999,brigada pesada,,
122114946,ejecutado,,
122115659,canasta,,
122106214,canasta,,
122110497,brigada pesada,,
122109394,brigada pesada,,
122135572,brigada pesada,,
122102326,caja concentradora,,
122140621,canasta,,
122133067,brigada pesada,26/1/2025,
122136642,brigada pesada,,
-28666410,brigada pesada,,
-28666412,caja concentradora,,
122139237,canasta,,
121848351,canasta,,
122197572,ejecutado,,
122198358,especial,,
122198356,brigada pesada,27/1/2025,
122196445,ejecutado,,
122099451,ejecutado,,
122122976,ejecutado,,
-28666416,ejecutado,,
122100532,canasta,,
122196470,ejecutado,,
122139756,ejecutado,,
122198102,ejecutado,,
122142559,ejecutado,,
122132909,canasta,,
122137307,ejecutado,,
122198214,ejecutado,,
122198690,canasta,,
122196590,ejecutado,,
-28666418,ejecutado,,
122139992,ejecutado,,
122197131,ejecutado,,
122142068,ejecutado,,
122134446,ejecutado,,
-28663986,brigada pesada,,
122133298,ejecutado,,
122197468,brigada pesada,,
122196715,brigada pesada,,
122196443,ejecutado,,
122198331,ejecutado,,
122136042,brigada pesada,,
122142583,canasta,,
122136435,brigada pesada,,
122132887,canasta,,
122143578,ejecutado,,
122196978,canasta,,
122143589,ejecutado,,
122273233,ejecutado,,
122273236,ejecutado,,
122100532,canasta,,
122124562,canasta,,
122132883,canasta,,
122137389,canasta,,
122116061,canasta,,
122259002,ejecutado,,
122269518,canasta,,
122273913,ejecutado,28/1/2025,
122264366,brigada pesada,,
122222295,brigada pesada,,
122272240,ejecutado,,
122277289,ejecutado,,
122264514,ejecutado,,
122268978,brigada pesada,,
122278086,ejecutado,,
-28666663,ejecutado,,
122264931,canasta,,
122199030,ejecutado,,
122264800,ejecutado,,
122260113,ejecutado,,
122236033,ejecutado,,
122268032,ejecutado,,
122199024,brigada pesada,,
122258107,ejecutado,,
122272713,ejecutado,,
122266028,ejecutado,,
122272794,canasta,,
-28666480,canasta,,
122281834,ejecutado,,
122282132,ejecutado,,
122281933,ejecutado,,
122281905,ejecutado,,
122282201,ejecutado,,
122282046,ejecutado,,
122282010,ejecutado,,
122265000,canasta,,
122271947,ejecutado,,
121776512,canasta,,
122263336,ejecutado,,
122265924,brigada pesada,,
121907644,brigada pesada,,
122259142,brigada pesada,,
122265334,ejecutado,,
122200444,ejecutado,,
122257972,canasta,,
122268268,ejecutado,,
122107793,canasta,,
122267973,brigada pesada,,
122258339,brigada pesada,,
122265865,canasta,,
122264364,ejecutado,,
122142291,canasta,,
122200652,ejecutado,,
-28666664,brigada pesada,,
-28665761,canasta,,
122261995,brigada pesada,,
122267972,brigada pesada,,
122264297,canasta,,
121490621,brigada pesada,,
